NúmeroDaExecução;ResultadoDaFO;TempoDeExecuçãoEmMilissegundos
1;5.7632879074553784;130388
2;9.6000622616084;132545
3;18.944828694002354;130256
4;6.925457117049518;125405
5;11.901674107211875;125839
6;6.625656435473502;128645
7;12.900387083103851;136821
8;7.9167898039922875;135319
9;5.317762314458378;129937
10;10.65671034414845;125140
11;9.04916901632896;126093
12;4.580429938851012;136130
13;12.595870220338838;126306
14;8.625433913843153;124803
15;9.152566471322643;125366
16;8.267547008297697;125197
17;7.031046539555973;124211
18;10.023807947763999;125150
19;7.380570745332079;125121
20;9.06818975186252;123972
21;9.794066368485801;125105
22;8.094551751881227;125383
23;6.63488185848837;124686
24;7.010159180881601;124780
25;9.017623355768592;126110
26;8.987493675740552;126871
27;12.70236552231654;136690
28;240.9147948775426;134229
29;4.83320710623957;134830
30;6.722035420774773;134970
