Teste;Observacao;FO;Tempo
BIN2;1;64493.77639243507;42103
REAL1;1;2.5654263754422988E-117;243
REAL2;1;0.0;1364
BIN1;1;110536.10554509239;1308
REAL2;2;0.0;1249
BIN2;2;61841.236824595064;41966
BIN1;2;111405.03512086144;1050
REAL1;2;3.428171610243309E-118;44
BIN1;3;110317.32517684645;1102
BIN2;3;55241.39004866481;45307
REAL2;3;0.0;1135
REAL1;3;1.768588358364773E-116;48
REAL2;4;0.0;1068
BIN1;4;128321.98629947186;1067
REAL1;4;9.167977496969003E-120;46
BIN2;4;69574.08737912093;41249
REAL2;5;0.0;956
REAL1;5;1.48308401680813E-115;64
BIN2;5;64318.37422818976;43413
BIN1;5;111543.09149579227;1067
REAL1;6;3.7206718371707E-119;47
BIN2;6;62003.02571682856;41620
BIN1;6;108020.89574201954;1038
REAL2;6;0.0;993
REAL1;7;2.747431504005549E-119;42
BIN1;7;110548.260009995;1058
REAL2;7;0.0;920
BIN2;7;61136.023839857;41089
BIN1;8;117291.08319024128;1080
BIN2;8;65433.69200099969;41496
REAL2;8;0.0;1010
REAL1;8;9.453238244090099E-116;48
REAL1;9;3.1533839171481514E-118;47
BIN1;9;107919.83786402481;1080
REAL2;9;0.0;934
BIN2;9;63114.63745325912;41577
REAL1;10;5.821209388880957E-116;46
BIN1;10;121929.57863566132;1175
BIN2;10;70344.79178307303;43793
REAL2;10;0.0;1098
